zotero_key,pub_date,emission_title,Date,Item Type,Title,Guest,Publication Title,Url,hashtag_emission,hashtag_candidat,Publisher,twitch_id,twitter_pathfile,titre,list_youtube_id
LXKRLL2F,,,2022-03-23,radioBroadcast,"Ma France : (multiple) Poutou, Arthaud","Poutou, Philippe; Arthaud, Nathalie",Ma France,,#MaFrance|#Poutou,,France Bleu,,,mafrancemultiplepoutouarthaud,
278T7QQ6,,,2022-03-24,tvBroadcast,Carnets de campagne - l'invité : Le Pen,"Le Pen, Marine",Carnets de campagne - l'invité,,#Le20h|#MLP2022|#MlaFrance|#MarinePresidente|#carnetdecampagne,,TF1,,,carnetsdecampagnelinvitélepen,
SRSUZIVM,,,2022-03-24,tvBroadcast,"Elysée 2022 : (multiple) Mélenchon, Roussel, Pécresse, Arthaud, Lassalle","Mélenchon, Jean-Luc; Roussel, Fabien; Pécresse, Valérie; Arthaud, Nathalie; Lassalle, Jean",Elysée 2022,,#Elysée2022|#JeanLassalle2022|#LaFranceAuthentique|#Roussel|#Roussel2022|#JLMPrésident|#Mélenchon2022|#UnionPopulaire|#Arthaud|#Arthaud2022|#Pécresse2022|#Pécresse,,France 2,,files/twitter/2022-03-24-elysee.xlsx,elysée2022multiplemélenchonrousselpécressearthaudlassalle,
CXCEW3L8,,,2022-03-24,tvBroadcast,Elysée 2022 : Lassalle,"Lassalle, Jean",Elysée 2022,,#Elysée2022|#LaFranceAuthentique|#JeanLassalle2022,,France 2,,files/twitter/2022-03-24-elysee.xlsx,elysée2022lassalle,
4NQ2AGQH,,,2022-03-24,tvBroadcast,Elysée 2022 : Pécresse,"Pécresse, Valérie",Elysée 2022,,#Elysée2022|#Pécresse2022|#Pécresse,,France 2,,files/twitter/2022-03-24-elysee.xlsx,elysée2022pécresse,
7C6H3IH7,,,2022-03-24,radioBroadcast,L'invité de 7h50 : Arthaud,"Arthaud, Nathalie",L'invité de 7h50,,"#Arthaud2022,|#le79Inter",,France Inter,,,linvitéde7h50arthaud,
G355AF58,,,2022-03-27,tvBroadcast,Dimanche en politique : Macron,"Macron, Emmanuel",Dimanche en politique,,#ProjetMacron #MacronFrance3 #DimPol #avecvous,,France 3 (12h30),,,dimancheenpolitiquemacron,
IT3898DS,,,2022-03-28,tvBroadcast,"2022, le compte à rebours: Jadot, Arthaud","Jadot, Yannick; Arthaud, Nathalie",le compte à rebours,https://www.france.tv/france-2/2022-le-compte-a-rebours/3248788-emission-du-mardi-29-mars-2022.html,#CompteARebours2022|#lecomptearebours2022|#JT20H|#Arthaud|#FaireFace|#Jadot2022,,France 2,,files/twitter/2022-03-28-comptearebours.xlsx,2022lecompteàreboursjadotarthaud,
2AAY4ZF9,,,2022-03-28,radioBroadcast,L'invité de 8h20 : Dupont-Aignan,"Dupont-Aignan, Nicolas",L'invité de 8h20,,#le79Inter|#2022NDA|#ChoisirLaLiberté,,France Inter,,,linvitéde8h20dupontaignan,b184b725-f6c8-4cf6-a7a3-2e4137da31d8
YKG9CM4L,,,2022-03-28,tvBroadcast,"Le Grand Oral de la présidentielle (18h) : (multiple) Le Pen, Zemmour, Jadot, Roussel, Hidalgo, Pécresse","Le Pen, Marine; Zemmour, Eric; Jadot, Yannick; Roussel, Fabien; Hidalgo, Anne; Pécresse, Valérie",Le Grand Oral de la présidentielle (18h),,#Europe1|#LeJDD|#ParisMatch|#Hidalgo2022|#Jadot2022|#FaireFace|#MarinePrésidente|#ZemmourPresident|#MlaFrance|#Roussel2022|#Pécresse2022|#Zemmour2022|#LeGrandOral,,Europe 1 / Le JDD / Paris Match,,files/twitter/2022-03-28-grandoral.xlsx,legrandoraldelaprésidentielle18hmultiplelepenzemmourjadotrousselhidalgopécresse,
